0,14,2,380
1,19,4,333
2,9,4,170
3,6,2,97
4,12,4,214
5,15,3,448
6,7,5,253
7,14,1,53
8,11,2,494
9,8,2,455
10,9,4,178
11,11,5,54
12,20,3,358
13,10,5,126
14,6,4,31
15,19,1,257
16,10,4,215
17,2,2,329
18,3,2,394
19,1,2,203
20,20,5,135
21,2,4,33
22,5,1,313
23,5,2,422
24,11,3,191
25,8,5,461
26,9,3,218
27,12,4,133
28,16,5,260
29,9,4,286
30,5,5,372
31,3,1,270
32,19,5,354
33,1,3,76
34,1,1,263
35,9,2,244
36,17,1,453
37,2,5,211
38,15,5,221
39,5,2,254
40,8,4,377
41,7,2,128
42,5,1,210
43,4,4,326
44,16,2,237
45,18,2,426
46,14,3,131
47,18,4,70
48,12,4,176
49,16,2,134
50,16,5,222
51,15,2,135
52,10,4,415
53,10,5,223
54,15,1,163
55,10,5,260
56,3,4,226
57,8,5,189
58,2,2,275
59,18,1,250
60,14,5,281
61,8,3,140
62,15,5,145
63,6,2,198
64,2,4,100
65,12,4,62
66,17,5,430
67,11,3,447
68,14,2,497
69,11,2,106
70,13,3,381
71,17,3,351
72,20,2,327
73,8,2,305
74,4,1,417
75,15,5,384
76,20,4,426
77,7,1,131
78,1,3,371
79,3,3,457
80,15,3,195
81,14,1,311
82,2,5,16
83,15,2,230
84,13,1,177
85,20,1,79
86,5,1,201
87,12,5,25
88,14,3,56
89,19,2,116
90,14,5,451
91,16,5,43
92,2,4,303
93,14,2,89
94,8,4,95
95,6,2,353
96,17,5,393
97,11,2,85
98,6,3,122
99,1,1,405
100,2,1,245
101,15,3,198
102,12,3,133
103,5,5,333
104,9,5,174
105,18,4,398
106,5,1,116
107,8,1,454
108,20,5,174
109,4,2,214
110,11,1,70
111,16,5,115
112,2,4,279
113,15,1,357
114,3,1,353
115,18,2,486
116,6,3,345
117,1,2,253
118,1,5,22
119,20,5,167
120,9,3,409
121,13,2,211
122,4,4,114
123,7,5,168
124,15,1,475
125,16,4,60
126,1,1,456
127,16,5,296
128,5,5,149
129,6,4,248
130,19,4,253
131,13,1,96
132,7,3,428
133,5,1,375
134,11,3,268
135,5,2,152
136,5,3,64
137,17,2,186
138,11,4,280
139,4,3,455
140,14,5,113
141,14,5,188
142,18,3,135
143,8,4,182
144,17,1,90
145,15,3,484
146,2,3,126
147,11,4,208
148,19,5,285
149,8,4,196
150,19,3,417
151,2,5,169
152,11,5,213
153,12,2,352
154,12,5,395
155,19,1,52
156,2,3,270
157,12,1,359
158,12,1,442
159,18,1,295
160,14,3,320
161,6,3,136
162,15,4,79
163,11,3,156
164,9,4,74
165,3,5,48
166,6,1,276
167,19,2,238
168,3,5,218
169,11,5,134
170,20,4,383
171,9,3,419
172,6,3,432
173,18,1,268
174,6,5,56
175,14,3,302
176,20,4,73
177,2,5,378
178,2,2,304
179,8,5,126
180,19,5,153
181,2,2,137
182,2,5,390
183,20,5,135
184,3,1,436
185,12,1,259
186,8,1,351
187,2,4,206
188,6,2,350
189,19,3,133
190,1,3,403
191,11,4,458
192,15,1,61
193,20,1,385
194,9,2,370
195,20,5,308
196,13,2,206
197,20,1,192
198,7,4,49
199,13,5,78
200,4,5,481
201,12,4,164
202,4,5,294
203,10,2,498
204,2,4,492
205,16,2,119
206,3,1,297
207,8,3,474
208,10,4,309
209,5,1,445
210,15,1,20
211,19,3,468
212,20,5,468
213,18,4,463
214,18,5,423
215,4,1,131
216,15,1,108
217,15,4,387
218,18,2,406
219,17,4,313
220,11,3,163
