0,17,2,389
1,10,1,204
2,14,2,207
3,5,4,466
4,20,3,436
5,5,3,70
6,20,3,52
7,9,3,361
8,16,3,375
9,14,5,99
10,3,4,265
11,18,3,457
12,10,5,356
13,9,4,305
14,8,5,342
15,19,2,138
16,13,5,498
17,3,4,255
18,5,3,62
19,5,1,399
20,16,2,437
21,5,2,77
22,8,4,356
23,8,2,382
24,10,1,381
25,3,2,268
26,9,3,144
27,7,4,128
28,9,5,263
29,2,2,430
30,10,2,159
31,2,1,52
32,9,2,195
33,6,5,160
34,13,5,327
35,14,5,79
36,16,2,119
37,14,4,379
38,13,4,122
39,14,4,289
40,6,3,257
41,7,5,362
42,10,1,384
43,11,3,286
44,16,2,306
45,2,3,86
46,12,3,142
47,8,2,74
48,7,3,242
49,13,1,312
50,9,2,366
51,18,1,16
52,7,4,100
53,16,3,118
54,19,1,334
55,17,2,210
56,3,2,341
57,4,1,93
58,5,2,499
59,18,4,311
60,2,5,306
61,20,1,311
62,14,4,27
63,9,5,321
64,15,4,429
65,19,2,385
66,17,4,406
67,16,4,197
68,12,4,176
69,3,1,11
70,16,3,200
71,14,2,20
72,2,2,335
73,10,1,195
74,1,2,183
75,4,5,196
76,19,4,318
77,8,3,362
78,6,4,157
79,12,3,276
80,10,2,133
81,4,1,412
82,4,2,204
83,9,1,29
84,1,3,219
85,19,2,183
86,15,4,198
87,15,2,49
88,4,4,233
89,6,5,458
90,2,5,358
91,6,5,470
92,7,5,446
93,2,4,354
94,13,4,398
95,17,1,44
96,2,1,496
97,4,1,223
98,5,3,178
99,1,2,145
100,19,1,321
101,9,1,12
102,11,1,181
103,18,4,403
104,5,5,27
105,7,2,241
106,3,1,186
107,2,4,24
108,13,3,14
109,1,2,148
110,6,5,344
111,19,2,498
112,14,4,182
113,1,3,282
114,16,3,87
115,5,4,16
116,3,2,80
117,15,5,315
118,12,2,477
119,4,5,97
120,15,5,20
121,10,1,470
122,15,2,295
123,20,1,190
124,8,5,414
125,11,3,59
